22:24:07.658 -> Flap opened
22:24:08.200 -> Flap closed
22:24:08.785 -> Flap opened
22:24:09.338 -> Flap closed
22:42:49.536 -> State: idle, AvgTemp: 26.45, MaxTemp: 38.50, MinTemp: 21.37
22:42:54.695 -> State: idle, AvgTemp: 26.52, MaxTemp: 38.56, MinTemp: 21.44
22:42:59.851 -> State: idle, AvgTemp: 26.53, MaxTemp: 38.63, MinTemp: 21.44
22:43:04.982 -> State: idle, AvgTemp: 26.58, MaxTemp: 38.69, MinTemp: 21.44
22:43:10.142 -> State: idle, AvgTemp: 26.61, MaxTemp: 38.75, MinTemp: 21.44
22:43:15.303 -> State: idle, AvgTemp: 26.66, MaxTemp: 38.81, MinTemp: 21.50
22:43:20.436 -> State: idle, AvgTemp: 26.69, MaxTemp: 38.88, MinTemp: 21.50
22:43:25.606 -> State: idle, AvgTemp: 26.75, MaxTemp: 39.00, MinTemp: 21.50
22:43:30.765 -> State: idle, AvgTemp: 26.78, MaxTemp: 39.06, MinTemp: 21.56
22:43:35.898 -> State: idle, AvgTemp: 26.81, MaxTemp: 39.06, MinTemp: 21.56
22:43:41.069 -> State: idle, AvgTemp: 26.84, MaxTemp: 39.13, MinTemp: 21.56
22:43:46.224 -> State: idle, AvgTemp: 26.89, MaxTemp: 39.19, MinTemp: 21.62
22:43:51.360 -> State: idle, AvgTemp: 26.92, MaxTemp: 39.25, MinTemp: 21.62
22:43:56.495 -> State: idle, AvgTemp: 26.98, MaxTemp: 39.38, MinTemp: 21.62
22:44:01.646 -> State: idle, AvgTemp: 27.00, MaxTemp: 39.44, MinTemp: 21.62
22:44:06.809 -> State: idle, AvgTemp: 27.06, MaxTemp: 39.50, MinTemp: 21.69
22:44:11.949 -> State: idle, AvgTemp: 27.09, MaxTemp: 39.56, MinTemp: 21.69
22:44:17.103 -> State: idle, AvgTemp: 27.11, MaxTemp: 39.63, MinTemp: 21.69
22:44:22.265 -> State: idle, AvgTemp: 27.17, MaxTemp: 39.69, MinTemp: 21.75
22:44:27.434 -> State: idle, AvgTemp: 27.20, MaxTemp: 39.75, MinTemp: 21.75
22:44:32.567 -> State: idle, AvgTemp: 27.23, MaxTemp: 39.81, MinTemp: 21.75
22:44:37.734 -> State: idle, AvgTemp: 27.30, MaxTemp: 39.88, MinTemp: 21.81
22:44:42.864 -> State: idle, AvgTemp: 27.31, MaxTemp: 39.94, MinTemp: 21.81
22:44:48.026 -> State: idle, AvgTemp: 27.36, MaxTemp: 40.00, MinTemp: 21.81
22:44:49.361 -> Flap opened
22:44:53.176 -> State: cooling, AvgTemp: 27.42, MaxTemp: 40.13, MinTemp: 21.87
22:44:58.337 -> State: cooling, AvgTemp: 27.52, MaxTemp: 40.31, MinTemp: 21.87
22:45:03.474 -> State: cooling, AvgTemp: 27.56, MaxTemp: 40.50, MinTemp: 21.81
22:45:08.638 -> State: cooling, AvgTemp: 27.59, MaxTemp: 40.69, MinTemp: 21.81
22:45:13.799 -> State: cooling, AvgTemp: 27.62, MaxTemp: 40.88, MinTemp: 21.81
22:45:18.921 -> State: cooling, AvgTemp: 27.64, MaxTemp: 41.06, MinTemp: 21.75
22:45:24.073 -> State: cooling, AvgTemp: 27.62, MaxTemp: 41.19, MinTemp: 21.69
22:45:29.230 -> State: cooling, AvgTemp: 27.66, MaxTemp: 41.38, MinTemp: 21.69
22:45:34.397 -> State: cooling, AvgTemp: 27.62, MaxTemp: 41.50, MinTemp: 21.62
22:45:39.558 -> State: cooling, AvgTemp: 27.61, MaxTemp: 41.63, MinTemp: 21.56
22:45:44.680 -> State: cooling, AvgTemp: 27.58, MaxTemp: 41.75, MinTemp: 21.50
22:45:49.847 -> State: cooling, AvgTemp: 27.55, MaxTemp: 41.81, MinTemp: 21.44
22:45:54.995 -> State: cooling, AvgTemp: 27.52, MaxTemp: 41.94, MinTemp: 21.37
22:46:00.161 -> State: cooling, AvgTemp: 27.47, MaxTemp: 42.00, MinTemp: 21.31
22:46:05.287 -> State: cooling, AvgTemp: 27.44, MaxTemp: 42.13, MinTemp: 21.25
22:46:10.451 -> State: cooling, AvgTemp: 27.39, MaxTemp: 42.19, MinTemp: 21.19
22:46:15.618 -> State: cooling, AvgTemp: 27.36, MaxTemp: 42.25, MinTemp: 21.00
22:46:20.752 -> State: cooling, AvgTemp: 27.30, MaxTemp: 42.31, MinTemp: 20.81
22:46:25.905 -> State: cooling, AvgTemp: 27.23, MaxTemp: 42.38, MinTemp: 20.56
22:46:31.069 -> State: cooling, AvgTemp: 27.19, MaxTemp: 42.44, MinTemp: 20.37
22:46:36.194 -> State: cooling, AvgTemp: 27.14, MaxTemp: 42.50, MinTemp: 20.19
22:46:41.349 -> State: cooling, AvgTemp: 27.09, MaxTemp: 42.56, MinTemp: 20.00
22:46:46.510 -> State: cooling, AvgTemp: 27.02, MaxTemp: 42.56, MinTemp: 19.81
22:46:51.672 -> State: cooling, AvgTemp: 26.97, MaxTemp: 42.63, MinTemp: 19.62
22:46:56.831 -> State: cooling, AvgTemp: 26.91, MaxTemp: 42.69, MinTemp: 19.37
22:47:01.968 -> State: cooling, AvgTemp: 26.86, MaxTemp: 42.75, MinTemp: 19.19
22:47:07.127 -> State: cooling, AvgTemp: 26.80, MaxTemp: 42.75, MinTemp: 19.00
22:47:12.284 -> State: cooling, AvgTemp: 26.72, MaxTemp: 42.81, MinTemp: 18.81
22:47:17.413 -> State: cooling, AvgTemp: 26.66, MaxTemp: 42.81, MinTemp: 18.62
22:47:22.580 -> State: cooling, AvgTemp: 26.61, MaxTemp: 42.88, MinTemp: 18.44
22:47:27.738 -> State: cooling, AvgTemp: 26.53, MaxTemp: 42.88, MinTemp: 18.25
22:47:32.865 -> State: cooling, AvgTemp: 26.48, MaxTemp: 42.94, MinTemp: 18.06
